,training_size,accuracy,precision,recall,fscore,model
0,100,0.6591591591591591,0.32957957957957956,0.5,0.39728506787330314,LeastConfidence()
1,200,0.6771771771771772,0.6288555194805194,0.601953779615265,0.6048088626145707,LeastConfidence()
2,300,0.6876876876876877,0.6453152588711055,0.6280091918958787,0.6325439266615737,LeastConfidence()
3,400,0.6921921921921922,0.658356890459364,0.5899420990838209,0.5845542927564015,LeastConfidence()
4,500,0.7387387387387387,0.598023580338326,0.5848163126047384,0.5826088617265087,LeastConfidence()
5,600,0.6591591591591591,0.598192771084337,0.591063691007797,0.5814656336232664,LeastConfidence()
6,700,0.6936936936936937,0.6520466006782375,0.6219280904739446,0.6267800632911392,LeastConfidence()
7,800,0.7132132132132132,0.6790167068406616,0.628999628711629,0.655172475365216,LeastConfidence()
8,900,0.6591591591591591,0.63957957957957956,0.5,0.63928506787330314,LeastConfidence()
9,1000,0.6831831831831832,0.6388816219751472,0.5852357681153603,0.5909134694242727,LeastConfidence()
10,1100,0.6771771771771772,0.7233201581027668,0.5917501731006593,0.5690117811968094,LeastConfidence()
11,1200,0.6576576576576577,0.6521197345252607,0.6690516090835199,0.6165626396544019,LeastConfidence()
12,1300,0.6996996996996997,0.6632089605479061,0.6147832980442134,0.6180009865439987,LeastConfidence()
13,1400,0.6951951951951952,0.7312189418298742,0.5935003462013186,0.62979678712904,LeastConfidence()
14,1500,0.7192192192192193,0.7184517497348886,0.6157616930749701,0.6145964530074548,LeastConfidence()
15,1600,0.7117117117117117,0.6848582850469389,0.6238949153562863,0.6279546115798662,LeastConfidence()
16,1700,0.6591591591591591,0.632957957957957956,0.65,0.6728506787330314,LeastConfidence()
17,1800,0.7132132132132132,0.6776669758812617,0.6537535247308159,0.6602285869968776,LeastConfidence()
18,1900,0.6591591591591591,0.62957957957957956,0.5,0.6728506787330314,LeastConfidence()
19,2000,0.7042042042042042,0.6818904593639576,0.603308480427082,0.6007668081610298,LeastConfidence()
20,2100,0.7147147147147147,0.6810498633527562,0.6761662970507661,0.6783263002694595,LeastConfidence()
21,2200,0.7237237237237237,0.6926904828696532,0.6585351168554885,0.6664380205781479,LeastConfidence()
22,2300,0.7207207207207207,0.6871393665469814,0.6637030495820497,0.6705039951483684,LeastConfidence()
23,2400,0.7237237237237237,0.6910577574084683,0.6840637010426178,0.6870460604946217,LeastConfidence()
24,2500,0.7387387387387387,0.7085168789843386,0.6933258406671149,0.6989963427811487,LeastConfidence()
25,2600,0.7147147147147147,0.6796015025314388,0.6655293869727956,0.6704859121920733,LeastConfidence()
